Scale Name,Scale Abreviation,Harm Component,Harm Sub-Component,Harm Indicator,Item,Recall Period,Dichotomous or Polytomous?,Response Options,Harm/Behaviour/Opportunity Cost*,Authors,Citation
Problem Gambling Severity Index,PGSI,Health,Mental,Guilt,Have you felt guilty about the way you gamble or what happens when you gamble?,Thinking about the last 12 months…,Polytomous,Never; Sometimes; Most of the Time; Almost Always,Harm,Ferris and Wynne,"Ferris, J., & Wynne, H. (2001). The Canadian problem gambling Index: Final report. Ottawa, ON: Canadian Centre on Substance Abuse."
Short Gambling Harms Screen - 10 items,SGHS-10,Resources,Finances,Less spending,Reduction of my available spending money,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Browne et al.,"Browne, M., Goodwin, B. C., & Rockloff, M. J. (2018). Validation of the short gambling harm screen (SGHS): A tool for assessment of harms from gambling. Journal of Gambling Studies, 34, 499-512."
Short Gambling Harms Screen - 10 items,SGHS-10,Resources,Finances,Less saving,Reduction of my savings,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Browne et al.,"Browne, M., Goodwin, B. C., & Rockloff, M. J. (2018). Validation of the short gambling harm screen (SGHS): A tool for assessment of harms from gambling. Journal of Gambling Studies, 34, 499-512."
Short Gambling Harms Screen - 10 items,SGHS-10,Resources,Finances,Less spending,"Less spending on recreational expenses such as eating out, going to movies or other entertainment",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Browne et al.,"Browne, M., Goodwin, B. C., & Rockloff, M. J. (2018). Validation of the short gambling harm screen (SGHS): A tool for assessment of harms from gambling. Journal of Gambling Studies, 34, 499-512."
Short Gambling Harms Screen - 10 items,SGHS-10,Health,Mental,Negative self evaluation,Had regrets that made me feel sorry about my gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Browne et al.,"Browne, M., Goodwin, B. C., & Rockloff, M. J. (2018). Validation of the short gambling harm screen (SGHS): A tool for assessment of harms from gambling. Journal of Gambling Studies, 34, 499-512."
Short Gambling Harms Screen - 10 items,SGHS-10,Health,Mental,Negative self evaluation,Felt ashamed of my gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Browne et al.,"Browne, M., Goodwin, B. C., & Rockloff, M. J. (2018). Validation of the short gambling harm screen (SGHS): A tool for assessment of harms from gambling. Journal of Gambling Studies, 34, 499-512."
Short Gambling Harms Screen - 10 items,SGHS-10,Resources,Finances,Sold things,Sold personal items,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Behaviour,Browne et al.,"Browne, M., Goodwin, B. C., & Rockloff, M. J. (2018). Validation of the short gambling harm screen (SGHS): A tool for assessment of harms from gambling. Journal of Gambling Studies, 34, 499-512."
Short Gambling Harms Screen - 10 items,SGHS-10,Resources,Finances,Borrowing,Increased credit card debt,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Browne et al.,"Browne, M., Goodwin, B. C., & Rockloff, M. J. (2018). Validation of the short gambling harm screen (SGHS): A tool for assessment of harms from gambling. Journal of Gambling Studies, 34, 499-512."
Short Gambling Harms Screen - 10 items,SGHS-10,Relationships,Close/Personal,Ignored relationships,Spent less time with people I care about,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Browne et al.,"Browne, M., Goodwin, B. C., & Rockloff, M. J. (2018). Validation of the short gambling harm screen (SGHS): A tool for assessment of harms from gambling. Journal of Gambling Studies, 34, 499-512."
Short Gambling Harms Screen - 10 items,SGHS-10,Health,Mental,Distress,Felt distressed about my gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Browne et al.,"Browne, M., Goodwin, B. C., & Rockloff, M. J. (2018). Validation of the short gambling harm screen (SGHS): A tool for assessment of harms from gambling. Journal of Gambling Studies, 34, 499-512."
Short Gambling Harms Screen - 10 items,SGHS-10,Health,Mental,Negative self evaluation,Felt like a failure,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Browne et al.,"Browne, M., Goodwin, B. C., & Rockloff, M. J. (2018). Validation of the short gambling harm screen (SGHS): A tool for assessment of harms from gambling. Journal of Gambling Studies, 34, 499-512."
Short Gambling Harms Screen - 18 items,SGHS-18,Resources,Finances,Less spending,Reduction of my available spending money,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Resources,Finances,Less spending,"Less spending on recreational expenses such as eating out, going to movies or other entertainment",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Resources,Finances,Impact on Finances,Reduction of my savings,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Resources,Work & Study,Missed work,Used my work or study time to gamble,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Behaviour,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Resources,Work & Study,Missed work,Reduced performance at work or study,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Behaviour,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Resources,Work & Study,Used work resources,Used my work or study resources to gamble,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Health,Physical,Sleep impact,Loss of sleep due to spending time gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Health,Physical,Overconsumption,Increased my use of tobacco,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Health,Mental,Depression,Increased experience of depression,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Health,Mental,Regret,Had regrets that made me feel sorry about my gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Health,Mental,Negative self evaluation,Felt like a failure,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Health,Mental,Negative self evaluation,Felt ashamed of my gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Relationships,Close/Personal,Less socially engaged,Spent less time with people I care about,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Relationships,Social,Less socially engaged,Spent less time attending social events,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Relationships,Close/Personal,Relationship Tension,Experienced greater tension in my relationships,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Relationships,Community,Less socially engaged,Reduced my contribution to community obligations,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Relationships,Community,Social isolation,Outcast from community due to involvement with gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
Short Gambling Harms Screen - 18 items,SGHS-18,Resources,Close/Personal,Taking money,Promised to pay back money without genuinely intending to do so,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Latvala et al. ,"Latvala, T., Browne, M., Rockloff, M., & Salonen, A. H. (2021). 18-Item Version of the Short Gambling Harm Screen (SGHS-18): Validation of screen for assessing gambling-related harm among Finnish population. International Journal of Environmental Research and Public Health, 18(21), 11552."
South Oaks Gambling Screen,SOGS,Uncontrolled Gambling,Finances,Returning to gamble,"When you gamble, how often do you go back another day to win back money you have lost?",Lifetime,Polytomous,"never; some of the time (less than half the time) I lost, most of the time I lost; every time I lost",Behaviour,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Uncontrolled Gambling,Mental,Lying to self,"Have you every claimed to be winning money gambling, but weren’t really? In fact, you lost?",Lifetime,Polytomous,"never (or never gablme); yes, less than half the time I lost; yes, most of the time",Behaviour,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Health,Mental,Gambling problem,Do you feel you have ever had a problem with betting or money gambling?,Lifetime,Polytomous,"no; yes, in the past, but not now; yes",Harm,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Uncontrolled Gambling,Finances,Overspent,Did you ever gamble more than you intended to?,Lifetime,Dichotomous,No; Yes,Harm,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Relationships,Uncontrolled Gambling,Criticized,"Have people criticized your betting or told you that you  had a problem, regardless of whether or not you thought it was true?",Lifetime,Dichotomous,No; Yes,Harm,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Uncontrolled Gambling,Mental,Guilt,"Have you ever felt guilty about the way you gamble, or what happens when you gamble?",Lifetime,Dichotomous,No; Yes,Harm,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Uncontrolled Gambling,Uncontrolled Gambling,Want to stop,"Have you ever felt like you would like to stop betting money  on gambling, but didn’t think you could?",Lifetime,Dichotomous,No; Yes,Harm,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Relationships,Finances,Lying/Hiding gambling,"Have you ever hidden betting slips, lottery tickets, gambling  money, IOUs, or other signs of betting or gambling from your spouse, children or other important people in your life?",Lifetime,Dichotomous,No; Yes,Behaviour,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Relationships,Finances,Financial relationship tension,(If you answered “Yes” to question 12) Have money arguments  ever centered on your gambling?,Lifetime,Dichotomous,No; Yes,Harm,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Relationships,Finances,Borrowing,Have you ever borrowed from someone and not paid them back as a result of your gambling?,Lifetime,Dichotomous,No; Yes,Harm,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Resources,Work & Study,Missed work,Have you ever lost time from work (or school) due to betting money or gambling?,Lifetime,Dichotomous,No; Yes,Opportunity Cost,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Relationships,Finances,Borrowing,Borrowed household money ,If you have borrowed money to gamble,Dichotomous,No; Yes,Behaviour,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Relationships,Finances,Borrowing,Borrowed from spouse,If you have borrowed money to gamble,Dichotomous,No; Yes,Behaviour,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Relationships,Finances,Borrowing,Borrowed from relatives or in-laws,If you have borrowed money to gamble,Dichotomous,No; Yes,Behaviour,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Resources,Finances,Borrowing,Borrowed from banks,If you have borrowed money to gamble,Dichotomous,No; Yes,Behaviour,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Resources,Finances,Borrowing,Borrowed from credit cards,If you have borrowed money to gamble,Dichotomous,No; Yes,Behaviour,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Resources,Finances,Borrowing,Borrowed from loan sharks,If you have borrowed money to gamble,Dichotomous,No; Yes,Harm,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Resources,Finances,Borrowing,Cashed in stocks,If you have borrowed money to gamble,Dichotomous,No; Yes,Behaviour,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Resources,Finances,Borrowing,Sold personal or family property,If you have borrowed money to gamble,Dichotomous,No; Yes,Behaviour,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
South Oaks Gambling Screen,SOGS,Resources,Finances,Borrowing,Borrowed from checking account,If you have borrowed money to gamble,Dichotomous,No; Yes,Behaviour,Lesieur and Blume,"Lesieur, H. R., & Blume, S. B. (1987). The South Oaks Gambling Screen (SOGS): a new instrument for the identification of pathological gamblers."
Unimpeachable Gambling Harm Screen,UGHS,Resources,Finances,Reduced essentional spending,Late payments on bills,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Boyle et al. ,"Murray Boyle, C., Browne, M., Rockloff, M., & Flenady, T. (2021). Opportunity costs or not? Validating the short gambling harm screen against a set of “unimpeachable” negative impacts. Journal of Clinical Medicine, 10(3), 549."
Unimpeachable Gambling Harm Screen,UGHS,Resources,Physical,Reduced essentional spending,"Less spending on essential expenses such as medications, healthcare and food",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Boyle et al. ,"Murray Boyle, C., Browne, M., Rockloff, M., & Flenady, T. (2021). Opportunity costs or not? Validating the short gambling harm screen against a set of “unimpeachable” negative impacts. Journal of Clinical Medicine, 10(3), 549."
Unimpeachable Gambling Harm Screen,UGHS,Relationships,Social,Isolation,Social isolation,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Boyle et al. ,"Murray Boyle, C., Browne, M., Rockloff, M., & Flenady, T. (2021). Opportunity costs or not? Validating the short gambling harm screen against a set of “unimpeachable” negative impacts. Journal of Clinical Medicine, 10(3), 549."
Unimpeachable Gambling Harm Screen,UGHS,Relationships,Close/Personal,Relationship Tension,Greater tension in my relationships,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Boyle et al. ,"Murray Boyle, C., Browne, M., Rockloff, M., & Flenady, T. (2021). Opportunity costs or not? Validating the short gambling harm screen against a set of “unimpeachable” negative impacts. Journal of Clinical Medicine, 10(3), 549."
Unimpeachable Gambling Harm Screen,UGHS,Health,Mental,Negative self evaluation,Felt insecure or vulnerable,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Boyle et al. ,"Murray Boyle, C., Browne, M., Rockloff, M., & Flenady, T. (2021). Opportunity costs or not? Validating the short gambling harm screen against a set of “unimpeachable” negative impacts. Journal of Clinical Medicine, 10(3), 549."
Unimpeachable Gambling Harm Screen,UGHS,Health,Mental,Negative self evaluation,Felt worthless,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Boyle et al. ,"Murray Boyle, C., Browne, M., Rockloff, M., & Flenady, T. (2021). Opportunity costs or not? Validating the short gambling harm screen against a set of “unimpeachable” negative impacts. Journal of Clinical Medicine, 10(3), 549."
Unimpeachable Gambling Harm Screen,UGHS,Health,Physical,Sleep impact,Loss of sleep due to time gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Boyle et al. ,"Murray Boyle, C., Browne, M., Rockloff, M., & Flenady, T. (2021). Opportunity costs or not? Validating the short gambling harm screen against a set of “unimpeachable” negative impacts. Journal of Clinical Medicine, 10(3), 549."
Unimpeachable Gambling Harm Screen,UGHS,Health,Physical,Ignored needs,Did not eat as much/often as I should,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Boyle et al. ,"Murray Boyle, C., Browne, M., Rockloff, M., & Flenady, T. (2021). Opportunity costs or not? Validating the short gambling harm screen against a set of “unimpeachable” negative impacts. Journal of Clinical Medicine, 10(3), 549."
Unimpeachable Gambling Harm Screen,UGHS,Resources,Work & Study,Missed work,Was absent from work or study,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Boyle et al. ,"Murray Boyle, C., Browne, M., Rockloff, M., & Flenady, T. (2021). Opportunity costs or not? Validating the short gambling harm screen against a set of “unimpeachable” negative impacts. Journal of Clinical Medicine, 10(3), 549."
Unimpeachable Gambling Harm Screen,UGHS,Relationships,Close/Personal,Ignore children,Did not fully attend to children,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Boyle et al. ,"Murray Boyle, C., Browne, M., Rockloff, M., & Flenady, T. (2021). Opportunity costs or not? Validating the short gambling harm screen against a set of “unimpeachable” negative impacts. Journal of Clinical Medicine, 10(3), 549."
